"feature"	"structurePerIdRank"	"formulaRank"	"ConfidenceScoreExact"	"ConfidenceScoreApproximate"	"CSI.FingerIDScore"	"ZodiacScore"	"SiriusScore"	"molecularFormula"	"adduct"	"precursorFormula"	"InChIkey2D"	"InChI"	"name"	"smiles"	"xlogp"	"pubchemids"	"links"	"dbflags"	"ionMass"	"retentionTimeInSeconds"	"retentionTimeInMinutes"	"formulaId"	"alignedFeatureId"	"mappingFeatureId"	"overallFeatureQuality"	"NPC.pathway"	"NPC.pathway.Probability"	"NPC.superclass"	"NPC.superclass.Probability"	"NPC.class"	"NPC.class.Probability"	"ClassyFire.superclass"	"ClassyFire.superclass.probability"	"ClassyFire.class"	"ClassyFire.class.Probability"	"ClassyFire.subclass"	"ClassyFire.subclass.Probability"	"ClassyFire.level.5"	"ClassyFire.level.5.Probability"	"ClassyFire.most.specific.class"	"ClassyFire.most.specific.class.Probability"	"ClassyFire.all.classifications"	"Avena.sativa"	"Chelidonium.majus"	"Cinchona.pubescens"	"Citrullus.colocynthis."	"Colon.Suis.D4"	"Cynara.scolymus"	"Duodenum.Suis.D4"	"Hepar.comp.Ampoules..Bulk.mat.52324."	"Hepar.Suis.D4"	"Hepeel.ampoule.solution..Bulk"	"Lycopodium.clavatum"	"Mixture.analogue.Hepar"	"Mixture.analogue.Hepeel."	"Myristica.fragrans."	"Negative.Control"	"Negative.control..Wfi.with.NaCl."	"Pankreas.Suis.D4"	"positive.Control"	"Silybum.marianum."	"Taraxacum.officinale"	"Thymus.Suis.D4"	"Veratrum.album"	"Vesica.Fellea.Suis.D4"
"P_1326"	1	1	0.72	0.739	-36.401	NA	29.937	"C5H9N3"	"[M + H]+"	"C5H10N3+"	"NTYJJOPFIAHURM"	"InChI=1S/C5H9N3/c6-2-1-5-3-7-4-8-5/h3-4H,1-2,6H2,(H,7,8)"	"Histamine"	"C1=C(NC=N1)CCN"	-0.472	"162464263;136870957;129730551;100971766;91602189;25201573;25239956;25240735;141507809;11228777;11355470;45039382;70180702;774;91388979;117065489"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000870);MiMeDB:(MMDBc0000161);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(5818 25201573 774 120160);SUPERNATURAL:(SN0255202);HSDB:(51-45-6);MESH:(774 25201573);PUBCHEM:(162464263 136870957 129730551 100971766 91602189 25201573 25239956 25240735 141507809 11228777 11355470 45039382 70180702 774 91388979 117065489);GNPS:(CCMSLIB00000578248 CCMSLIB00000578003);COCONUT:(CNP0244923);NORMAN:(NS00004684 NS00078856);CHEBI:(18295 58432);KEGG:(C00388);DSSTox:(DTXSID1058767 DTXSID20984171 DTXSID4023125 DTXSID40661997 DTXSID70946542);LOTUS:(Q61233);YMDB:(YMDB01556);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(NTYJJOPFIAHURM-UHFFFAOYSA-N)"	138906243966	112.086	48	0.795	637172533114861952	637163307340035200	1326	NA	"Alkaloids"	0.99	"Histidine alkaloids"	0.963	"Imidazole alkaloids"	0.963	"Organic nitrogen compounds"	1	"Organonitrogen compounds"	1	"Amines"	0.986	"Aralkylamines"	0.821	"Aralkylamines"	0.821	"Organic compounds; Organoheterocyclic compounds; Imidazoles; Organonitrogen compounds; Azoles; Monoalkylamines; Amines; Primary amines; Aralkylamines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities"	15574	64	29	22	67	6515	19	46	207	16	108	4469	24	111	45	27	27	193	38	12	20	46	17
"P_11469"	1	1	0.632	0.632	-36.108	NA	13.264	"C5H4BrClN2S"	"[M + H]+"	"C5H5BrClN2S+"	"DULDPFCUMCRXFK"	"InChI=1S/C5H4BrClN2S/c6-2-1-3(5(8)9)10-4(2)7/h1H,(H3,8,9)"	"4-Bromo-5-chlorothiophene-2-carboximidamide"	"C1=C(SC(=C1Br)Cl)C(=N)N"	2.6	"102842136"	"PUBCHEM:(102842136)"	2	238.904	50	0.831	637186074926591104	637163739684747776	11469	NA	"Alkaloids"	0.156	"Histidine alkaloids"	0.067	"Imidazole alkaloids"	0.064	"Organoheterocyclic compounds"	1	"Thiophenes"	0.987	"2,5-disubstituted thiophenes"	0.855	""	NA	"2,5-disubstituted thiophenes"	0.855	"Organic compounds; Organoheterocyclic compounds; Thiophenes; Organohalogen compounds; Organonitrogen compounds; Aryl bromides; Aryl chlorides; Organobromides; Organochlorides; Aryl halides; 2,5-disubstituted thiophenes; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic nitrogen compounds; Chemical entities"	439	5987	3241	375	46	7612	14	20	34	11	12	4080	2653	907	48	5	24	26	262	5511	64	2582	20
"P_2483"	1	1	0.893	0.893	-15.729	NA	16.551	"C5H14N4"	"[M + H]+"	"C5H15N4+"	"QYPPJABKJHAVHS"	"InChI=1S/C5H14N4/c6-3-1-2-4-9-5(7)8/h1-4,6H2,(H4,7,8,9)"	"Agmatine"	"C(CCN=C(N)N)CN"	-1.5	"101363616;5257176;4569196;153694837;131699347;199"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0001432);MiMeDB:(MMDBc0000390);BloodExposome:(199);SUPERNATURAL:(SN0318681);MESH:(199);FooDB:(FDB008310);PUBCHEM:(101363616 5257176 4569196 153694837 131699347 199);COCONUT:(CNP0307539);NORMAN:(NS00000073);PLANTCYC:(AGMATHINE);CHEBI:(58145 17431);KEGG:(C00179);DSSTox:(DTXSID0040961 DTXSID90493907);LOTUS:(Q394317);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(QYPPJABKJHAVHS-UHFFFAOYSA-N)"	139376066942	131.128	50	0.839	637173023752054272	637163363350776576	2483	NA	"Alkaloids"	0.998	"Ornithine alkaloids"	0.998	"Polyamines"	1	"Organic nitrogen compounds"	1	"Organonitrogen compounds"	1	"Guanidines"	0.933	""	NA	"Guanidines"	0.933	"Organic compounds; Organonitrogen compounds; Guanidines; Monoalkylamines; Amines; Primary amines; Carboximidamides; Organic cations; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities"	446306	7436	1858	2045	5	1300	38	25	5	34	1552	185312	5061	0	3	8	450	30	3767	1432	101	7015	12
"P_3593"	1	1	0.988	0.99	-61.415	NA	23.984	"C6H14N2O2"	"[M + H]+"	"C6H15N2O2+"	"KDXKERNSBIXSRK"	"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)"	"Lysin"	"C(CCN)CC(C(=O)O)N"	-1.103	"118524989;134261062;21846779;58618378;4477687;161563499;161563500;157506906;155640846;87528070;87190895;87191245;16057978;50992680;5242389;5248709;5259891;16213293;16213331;16213426;16213428;16217576;16217578;16219563;5460921;5460920;5460922;5460924;5460925;5460926;5460928;135207569;118264373;53989584;53989588;53989590;53989591;58203005;58219022;58219025;58359512;124202796;101611383;101738686;101738688;102351657;102351658;101966858;135739675;59069846;59373180;59373182;160448859;140533859;92043531;91869589;10290870;10313213;159106142;159106141;159106143;159106144;641599;159403454;89059446;165412530;141740771;90862357;153693994;153694824;153694890;153711326;71774817;131708617;131708625;131708709;131852320;131854682;11378574;45157534;88683742;59703106;88901890;88901892;88901900;88901911;10975638;88952248;130346519;866;5962;57449;134478;450558;450564;150791321;3532358;12135279;12149172;12149174;12149175;3784624;12205370;12205346;12205349;12205352;12205354;12205357;12205358;12205360;12205363;12205365;12205371;122198194;148178435;122482875;90389224;71309085;71309189;71309643;71310243;44231977;57616908;57616911;57616912;57616921;158520002;141241661;24848423"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000182 HMDB0003405 HMDB0301757);MiMeDB:(MMDBc0000059 MMDBc0000240 MMDBc0057151);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(69567 5962 5460920 866 12047 641599 5460928 5460926 69568 57449);SUPERNATURAL:(SN0182983 SN0182984);HSDB:(56-87-1);MESH:(866 5962);FooDB:(FDB000474 FDB000475 FDB012887 FDB023163);PUBCHEM:(118524989 134261062 21846779 58618378 4477687 161563499 161563500 157506906 155640846 87528070 87190895 87191245 16057978 50992680 5242389 5248709 5259891 16213293 16213331 16213426 16213428 16217576 16217578 16219563 5460921 5460920 5460922 5460924 5460925 5460926 5460928 135207569 118264373 53989584 53989588 53989590 53989591 58203005 58219022 58219025 58359512 124202796 101611383 101738686 101738688 102351657 102351658 101966858 135739675 59069846 59373180 59373182 160448859 140533859 92043531 91869589 10290870 10313213 159106142 159106141 159106143 159106144 641599 159403454 89059446 165412530 141740771 90862357 153693994 153694824 153694890 153711326 71774817 131708617 131708625 131708709 131852320 131854682 11378574 45157534 88683742 59703106 88901890 88901892 88901900 88901911 10975638 88952248 130346519 866 5962 57449 134478 450558 450564 150791321 3532358 12135279 12149172 12149174 12149175 3784624 12205370 12205346 12205349 12205352 12205354 12205357 12205358 12205360 12205363 12205365 12205371 122198194 148178435 122482875 90389224 71309085 71309189 71309643 71310243 44231977 57616908 57616911 57616912 57616921 158520002 141241661 24848423);GNPS:(CCMSLIB00000577950 CCMSLIB00003137552);COCONUT:(CNP0204700);NORMAN:(NS00078396 NS00082898 NS00079897 NS00003109 NS00079467 NS00079676 NS00080722 NS00084621);METACYC:(SMA-0000161 SMA-0000082 CPD1UA-5654 SMA-0000635 SMA-0000491 SMA-0000436 SMA-0000468 SMA-0000638 SMA-0000452 SMA-0000063 SMA-0000484 SMA-0000449 SMA-0000420 SMA-0000099 SMA-0000286 SMA-0000089 LYS SMA-0000048 SMA-0000404 SMA-0000686 SMA-0000318 SMA-0000110 SMA-0000032 SMA-0000475 SMA-0000459 SMA-0000066 CPD-219);PLANTCYC:(LYS);CHEBI:(32564 132486 32551 32552 25094 32550 32557 32565 53633 18019 133538 16855 32563 32556 53558 32558);KEGG:(C00047 C00739 C16440);DSSTox:(DTXSID00480388 DTXSID00745949 DTXSID10370387 DTXSID10745753 DTXSID10947159 DTXSID10951110 DTXSID10962549 DTXSID30583876 DTXSID30584449 DTXSID30745795 DTXSID30883525 DTXSID401316450 DTXSID40583943 DTXSID4074986 DTXSID601014484 DTXSID6023232 DTXSID60480389 DTXSID60669536 DTXSID701317326 DTXSID70192769 DTXSID70583850 DTXSID70583875 DTXSID80583942 DTXSID80884365 DTXSID9029198 DTXSID90859004);LOTUS:(Q27077084 Q178430 Q20816880);YMDB:(YMDB00330);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(KDXKERNSBIXSRK-UHFFFAOYSA-N)"	139577465726	147.112	51	0.842	637173568785190272	637163410096300160	3593	NA	"Amino acids and Peptides"	1	"Small peptides"	1	"Aminoacids"	1	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Amino acids, peptides, and analogues"	1	"Amino acids and derivatives"	1	"L-alpha-amino acids"	0.542	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	122775	3897	70	177	4356	4573	12160	72	13309	41	10817	58942	37189	300	27	55	74868	19024	125514	14010	18448	5842	3387
"P_1448"	1	1	0.357	0.357	-41.276	NA	24.17	"C5H11N3"	"[M + H]+"	"C5H12N3+"	"NBKVAFWPGGYSTP"	"InChI=1S/C5H11N3/c1-2-3-4-8-5(6)7/h2H,1,3-4H2,(H4,6,7,8)"	"2-But-3-enylguanidine"	"C=CCCN=C(N)N"	-0.2	"11205731"	"PUBCHEM:(11205731)"	2	114.102	51	0.843	637172561770352768	637163312591304320	1448	NA	"Alkaloids"	0.992	"Ornithine alkaloids"	0.966	"Polyamines"	0.991	"Organic nitrogen compounds"	1	"Organonitrogen compounds"	1	"Guanidines"	0.957	""	NA	"Guanidines"	0.957	"Organic compounds; Organonitrogen compounds; Guanidines; Carboximidamides; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities"	223382	6274	911	1750	66	2310	82	25	2	45	2387	102510	5534	8	8875	17	1811	50	6586	1258	222	7556	0
"P_2348"	1	1	0.32	0.551	-61.564	NA	35.806	"C6H12N2O"	"[M + H]+"	"C6H13N2O+"	"DPBWFNDFMCCGGJ"	"InChI=1S/C6H12N2O/c7-6(9)5-1-3-8-4-2-5/h5,8H,1-4H2,(H2,7,9)"	""	"C1CNCCC1C(=O)N"	-0.43	"58592966;162343573;136754161;7057939;152780817;131869337;3772"	"PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0443194);NORMAN:(NS00000553);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);CHEBI:(166563);SUPERNATURAL:(SN0071668);MESH:(3772);PUBCHEM:(58592966 162343573 136754161 7057939 152780817 131869337 3772);DSSTox:(DTXSID00591347 DTXSID7068182);PUBMED:(null)"	137526247526	129.101	51	0.848	637172933255734656	637163357625550976	2348	NA	"Alkaloids"	0.475	"Lysine alkaloids"	0.561	"Piperidine alkaloids"	0.625	"Organic acids and derivatives"	0.985	"Carboxylic acids and derivatives"	0.974	"Amino acids, peptides, and analogues"	0.83	"Amino acids and derivatives"	0.829	"Amino acids and derivatives"	0.829	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Piperidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Primary carboxylic acid amides; Carbonyl compounds; Dialkylamines; Amines; Secondary amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	11995	429	471	346	187	776	1484	327	906	234	878	5810	2847	291	218	261	6664	2363	9564	1456	2241	505	413
"P_7062"	1	1	0.77	0.77	-106.729	NA	40.345	"C9H20N2O2"	"[M + H]+"	"C9H21N2O2+"	"CBAWNLIZBXJSFS"	"InChI=1S/C9H20N2O2/c1-7(2)11-6-4-3-5-8(10)9(12)13/h7-8,11H,3-6,10H2,1-2H3,(H,12,13)"	"H-Lys(isopropyl)-OH"	"CC(C)NCCCCC(C(=O)O)N"	0.5	"58816184;7010703;7010704;18421260"	"PUBCHEMANNOTATIONBIO:(null);PUBCHEM:(58816184 7010703 7010704 18421260)"	16777218	189.159	51	0.858	637176890095771520	637163558658565120	7062	NA	"Amino acids and Peptides"	1	"Small peptides"	1	"Aminoacids"	1	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Amino acids, peptides, and analogues"	0.999	"Amino acids and derivatives"	0.999	"Alpha amino acids"	0.823	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	30637	5048	11	6611	24	2712	118	10	192	50	10453	10830	9471	20	225	3	4134	472	25283	6458	506	6864	127
"P_4364"	1	1	0.903	0.954	-13.742	NA	45.88	"C6H9N3O2"	"[M + H]+"	"C6H10N3O2+"	"HNDVDQJCIGZPNO"	"InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)"	"L-His"	"C1=C(NC=N1)CC(C(=O)O)N"	-3.2	"101100551;22058933;9815258;136768573;136768597;136768598;136802402;136951621;6971009;6971048;87528073;15556516;16056331;5247180;16217281;16217564;5288059;5288559;5460934;5460936;5460937;5460941;5460943;5460945;5460948;51342292;118264376;53885979;86580368;129716535;4629346;58203003;124202807;137333494;102176482;102462245;162642344;162642346;162642348;136205229;135705197;136264951;136264952;59048770;135897705;59373198;25240990;25241086;25241571;10261337;10313231;10329518;71725525;71777659;132472196;11159446;11159482;11194454;11378637;130346518;773;6274;71083;135379;46781699;3651426;3651721;3723250;122411932;90472119;71309184;71309586;71309659;71309677;73755104"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000177 HMDB0250763);MiMeDB:(MMDBc0000058 MMDBc0055866);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(21947049 6274 66091 71083 773);SUPERNATURAL:(SN0130145);HSDB:(71-00-1);MESH:(773 6274);FooDB:(FDB011856);PUBCHEM:(101100551 22058933 9815258 136768573 136768597 136768598 136802402 136951621 6971009 6971048 87528073 15556516 16056331 5247180 16217281 16217564 5288059 5288559 5460934 5460936 5460937 5460941 5460943 5460945 5460948 51342292 118264376 53885979 86580368 129716535 4629346 58203003 124202807 137333494 102176482 102462245 162642344 162642346 162642348 136205229 135705197 136264951 136264952 59048770 135897705 59373198 25240990 25241086 25241571 10261337 10313231 10329518 71725525 71777659 132472196 11159446 11159482 11194454 11378637 130346518 773 6274 71083 135379 46781699 3651426 3651721 3723250 122411932 90472119 71309184 71309586 71309659 71309677 73755104);GNPS:(CCMSLIB00003136042 CCMSLIB00000577965);COCONUT:(CNP0161367);NORMAN:(NS00005578 NS00079380 NS00079890 NS00079950 NS00081141 NS00081976 NS00082207 NS00089034);METACYC:(CPD-12151 HIS);PLANTCYC:(HIS);CHEBI:(27947 15971 32523 32531 32532 57595 27570 32529 32527 32512 32513 32526 32510 142967);KEGG:(C00768 C06419 C00135);DSSTox:(DTXSID00208089 DTXSID00901785 DTXSID10924465 DTXSID20884263 DTXSID3020700 DTXSID401014452 DTXSID701009143 DTXSID70413027 DTXSID70889344 DTXSID80199704 DTXSID9023126);LOTUS:(Q27103201 Q485277 Q27077043);YMDB:(YMDB00794 YMDB00369);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(HNDVDQJCIGZPNO-UHFFFAOYSA-N)"	139577465726	156.076	53	0.88	637174084177175680	637163446137958272	4364	NA	"Amino acids and Peptides"	1	"Small peptides"	1	"Aminoacids"	1	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Amino acids, peptides, and analogues"	1	"Amino acids and derivatives"	1	"Histidine and derivatives"	0.983	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Carbonyl compounds; Substituted imidazoles; Alpha amino acids; Amines; Primary amines; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Histidine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	18945	37	25	250	1485	35	11538	51	20154	72	811	7904	7563	89	1097	13	84805	20051	44094	293	11051	231	3581
"P_4359"	1	1	0.384	0.384	-77.718	NA	15.777	"C5H5N3O3"	"[M + H]+"	"C5H6N3O3+"	"BLQMCTXZEMGOJM"	"InChI=1S/C5H5N3O3/c6-3-2(4(9)10)1-7-5(11)8-3/h1H,(H,9,10)(H3,6,7,8,11)"	"4-amino-2-oxo-1,2-dihydropyrimidine-5-carboxylic acid"	"C1=NC(=O)NC(=C1C(=O)O)N"	-0.9	"6994469;77213"	"PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0343495);NORMAN:(NS00030053);HMDB:(HMDB0246202);BloodExposome:(77213);METACYC:(CPD-25768);CHEBI:(76793);SUPERNATURAL:(SN0028929);MESH:(77213);PUBCHEM:(6994469 77213);DSSTox:(DTXSID70190003);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)"	137496889454	156.042	55	0.918	637174084005209216	637163445865328512	4359	NA	"Alkaloids"	0.73	"Pseudoalkaloids (transamidation)"	0.539	"Purine alkaloids"	0.665	"Organoheterocyclic compounds"	0.996	"Diazines"	0.696	"Pyrimidines and pyrimidine derivatives"	0.568	"Pyrimidones"	0.521	"Pyrimidones"	0.521	"Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Diazines; Primary amines; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	4946327	26929	24434	17279	2426	6096	2314	11	1468	26	32399	761984	44473	11396	285	30	2281	1957	107128	22078	1977	38322	3034
"P_699"	1	1	0.666	0.777	-52.205	NA	20.77	"C4H9NO"	"[M + H]+"	"C4H10NO+"	"VYONOYYDEFODAJ"	"InChI=1S/C4H9NO/c6-4-3-5-1-2-5/h6H,1-4H2"	"1-Aziridineethanol"	"C1CN1CCO"	-0.6	"6994109;14074"	"NORMAN:(NS00021489);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);CHEBI:(82393);HSDB:(1072-52-2);KEGG:(C19332);PUBCHEM:(6994109 14074);DSSTox:(DTXSID0024551);PUBMED:(null)"	137506325346	88.075	55	0.919	637172296342170368	637163281343735808	699	NA	"Alkaloids"	0.586	"Fatty amides"	0.251	"Acetate-derived alkaloids"	0.089	"Organoheterocyclic compounds"	0.688	"Oxazinanes"	0.515	""	NA	""	NA	"Oxazinanes"	0.515	"Organic compounds; Organoheterocyclic compounds; Oxazinanes; Organonitrogen compounds; Organooxygen compounds; Amines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	189	268	165	716	387	13	642	27	363	106	545	522	313	133	22340	0	397	194	977	433	405	204	821
"P_5920"	1	1	0.951	0.956	-59.43	NA	22.697	"C6H14N4O2"	"[M + H]+"	"C6H15N4O2+"	"ODKSFYDXXFIFQN"	"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)"	"Harg"	"C(CC(C(=O)O)N)CN=C(N)N"	-1.634	"154624364;101002480;17753939;58618352;4473077;161563502;161563501;9793996;9815369;6913512;20798608;155634912;159961799;163358946;87559318;76974066;76974115;76974116;5231987;5246487;5260203;16217519;16217580;16217799;5287702;5460857;5460858;5460860;5460861;160927720;135207570;51037639;51037640;51037641;118099679;118264379;129834582;129850676;134817835;22726443;58203011;124202805;101611381;162642132;162642135;52941769;135705201;59119146;59373188;59373181;59373187;59373199;160448860;140533858;10313339;88031296;89059445;151306026;90938205;153693995;153709895;153712626;54144538;54144539;123552702;131801519;131878490;132276652;1549073;1549104;11321257;140491596;59645172;59667378;88901885;88901889;88901891;88901915;59905797;232;6322;28782;71070;444360;46932130;12205337;117064614;117065487;11770759;122363709;142696383;90472354;164899900;57182507;71308530;71309938;71310245;57616918;57616923;57616939;57616947"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000517 HMDB0003416 HMDB0062762 HMDB0251511 HMDB0303361);MiMeDB:(MMDBc0000112 MMDBc0048340 MMDBc0057189);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(232 1549073 5460861 66250 6322 71070 5287702 5460857);SUPERNATURAL:(SN0262438);HSDB:(74-79-3);MESH:(6322 5287702);FooDB:(FDB002257 FDB011914 FDB023167);PUBCHEM:(154624364 101002480 17753939 58618352 4473077 161563502 161563501 9793996 9815369 6913512 20798608 155634912 159961799 163358946 87559318 76974066 76974115 76974116 5231987 5246487 5260203 16217519 16217580 16217799 5287702 5460857 5460858 5460860 5460861 160927720 135207570 51037639 51037640 51037641 118099679 118264379 129834582 129850676 134817835 22726443 58203011 124202805 101611381 162642132 162642135 52941769 135705201 59119146 59373188 59373181 59373187 59373199 160448860 140533858 10313339 88031296 89059445 151306026 90938205 153693995 153709895 153712626 54144538 54144539 123552702 131801519 131878490 132276652 1549073 1549104 11321257 140491596 59645172 59667378 88901885 88901889 88901891 88901915 59905797 232 6322 28782 71070 444360 46932130 12205337 117064614 117065487 11770759 122363709 142696383 90472354 164899900 57182507 71308530 71309938 71310245 57616918 57616923 57616939 57616947);GNPS:(CCMSLIB00003136581);COCONUT:(CNP0257247);NORMAN:(NS00079284 NS00074187 NS00085581 NS00080232 NS00005927 NS00078080);METACYC:(CPD0-2700 CPD-220);PLANTCYC:(ARG);CHEBI:(32697 15816 32682 31235 29016 32695 32683 32689 192075 32681 32696 16467 32688 32690);KEGG:(C00792 C02385 C00062);DSSTox:(DTXSID00370078 DTXSID10206834 DTXSID10745551 DTXSID201031042 DTXSID20883650 DTXSID30726544 DTXSID30935331 DTXSID40883354 DTXSID50238230 DTXSID6041056 DTXSID60883513 DTXSID80170033 DTXSID8022618);LOTUS:(Q27076987 Q173670 Q27104032);YMDB:(YMDB00592);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(ODKSFYDXXFIFQN-UHFFFAOYSA-N)"	139577465726	175.118	55	0.925	637175537780622720	637163514400263680	5920	NA	"Amino acids and Peptides"	1	"Small peptides"	1	"Aminoacids"	1	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Amino acids, peptides, and analogues"	1	"Amino acids and derivatives"	1	"L-alpha-amino acids"	0.575	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	21031	308448	1564	56732	24865	660924	87571	36	774	1097	520750	842700	1136330	2787	1022	67	719481	53018	2801034	390531	113571	2672459	11022
